Date,Volume,Turnover,Open,High,Low,Close,Change,Trades,Daily_Return,Log_Return,MA20,MA60,Volatility20,Volume_MA20,Volume_Ratio,Return_Outlier,Regime
2025-07-17,36971364.0,41632558135.0,1130.0,1135.0,1115.0,1130.0,0.0,41463.0,0.0,0.0,1083.5,1009.05,0.23049741114387265,35370506.15,1.0452596817023496,False,MA20 >= MA60
2025-07-18,50467755.0,58221053093.0,1155.0,1160.0,1145.0,1155.0,25.0,70457.0,0.022123893805309658,0.021882711249507587,1088.5,1013.75,0.23308559334508383,34531835.7,1.461484858159452,False,MA20 >= MA60
2025-07-21,32374260.0,37068540960.0,1145.0,1150.0,1135.0,1150.0,-5.0,39350.0,-0.0043290043290042934,-0.00433840159859813,1095.0,1018.5166666666667,0.18941240490095482,34473396.8,0.9391085011964937,False,MA20 >= MA60
2025-07-22,54933274.0,62867010181.0,1145.0,1160.0,1130.0,1130.0,-20.0,59679.0,-0.017391304347826098,-0.017544309650909508,1099.0,1022.55,0.18578181541732433,35714790.8,1.5381099194342756,False,MA20 >= MA60
2025-07-23,31360184.0,35765717715.0,1140.0,1145.0,1135.0,1145.0,15.0,32586.0,0.01327433628318575,0.013187004281953681,1102.75,1026.6833333333334,0.18052987535442233,35056841.35,0.8945524694283388,False,MA20 >= MA60
2025-07-24,16038287.0,18400221444.0,1150.0,1155.0,1145.0,1145.0,0.0,19186.0,0.0,0.0,1106.25,1030.7333333333333,0.18087320986780578,33882020.3,0.47335686768359564,False,MA20 >= MA60
2025-07-25,23026843.0,26418536660.0,1150.0,1155.0,1140.0,1145.0,0.0,25178.0,0.0,0.0,1109.5,1034.6833333333334,0.18113863255413234,33289467.85,0.6917155631251702,False,MA20 >= MA60
2025-07-28,23153187.0,26593770396.0,1155.0,1160.0,1145.0,1145.0,0.0,24043.0,0.0,0.0,1113.75,1037.9333333333334,0.16299551888372735,32658972.55,0.7089380097476459,False,MA20 >= MA60
2025-07-29,41471548.0,47077846101.0,1145.0,1145.0,1125.0,1135.0,-10.0,43297.0,-0.008733624454148492,-0.008771986072836994,1116.25,1041.2166666666667,0.1512097815547908,32091605.5,1.2922864828311567,False,MA20 >= MA60
2025-07-30,37445435.0,43115792626.0,1150.0,1160.0,1145.0,1155.0,20.0,42479.0,0.017621145374449254,0.01746769304039078,1119.75,1045.1333333333334,0.16032022025332976,32741192.4,1.1436796358094765,False,MA20 >= MA60
2025-07-31,35986507.0,41712508468.0,1160.0,1165.0,1155.0,1160.0,5.0,50361.0,0.0043290043290042934,0.00431966114451638,1123.25,1049.0,0.16029026167916488,32554542.6,1.1054219818772695,False,MA20 >= MA60
2025-08-01,45352225.0,51714816380.0,1145.0,1150.0,1130.0,1140.0,-20.0,76135.0,-0.017241379310344862,-0.01739174271186922,1126.0,1052.7,0.17410579184897268,33644311.75,1.34799086802541,False,MA20 >= MA60
2025-08-04,25256974.0,28532556011.0,1130.0,1135.0,1125.0,1135.0,-5.0,47206.0,-0.004385964912280715,-0.0043956114730381085,1128.75,1055.8,0.17398659773733144,33909694.9,0.7448304702971539,False,MA20 >= MA60
2025-08-05,20695955.0,23713307116.0,1145.0,1150.0,1140.0,1150.0,15.0,24124.0,0.013215859030837107,0.013129291441792802,1132.25,1059.0166666666667,0.17770857082379274,33447246.75,0.6187640840721815,False,MA20 >= MA60
2025-08-06,24015506.0,27066744255.0,1130.0,1135.0,1125.0,1125.0,-25.0,55936.0,-0.021739130434782594,-0.021978906718775226,1134.0,1061.6166666666666,0.19674582388438877,33353029.8,0.7200397128539129,False,MA20 >= MA60
2025-08-07,64965686.0,76081290909.0,1160.0,1180.0,1155.0,1180.0,55.0,98335.0,0.04888888888888898,0.047731402821190025,1138.0,1064.6333333333334,0.25788419161698467,35403940.0,1.8349846373030798,True,MA20 >= MA60
2025-08-08,27434505.0,32303933490.0,1180.0,1185.0,1170.0,1175.0,-5.0,43558.0,-0.004237288135593209,-0.004246290881451097,1141.75,1067.6666666666667,0.25911318198128197,35244875.65,0.7783969866269056,False,MA20 >= MA60
2025-08-11,37435809.0,44247026887.0,1170.0,1195.0,1165.0,1180.0,5.0,53135.0,0.004255319148936065,0.004246290881451004,1146.0,1070.7,0.25739863946284686,35617870.45,1.051040068567603,False,MA20 >= MA60
2025-08-12,30137118.0,35563421901.0,1180.0,1190.0,1170.0,1180.0,0.0,37189.0,0.0,0.0,1149.5,1073.9666666666667,0.25504199236407177,34651803.05,0.8697128387955559,False,MA20 >= MA60
2025-08-13,39708109.0,47367251520.0,1185.0,1200.0,1185.0,1200.0,20.0,58632.0,0.016949152542372836,0.016807118316381188,1153.0,1077.6666666666667,0.25424438491867624,34911526.55,1.1373925154241071,False,MA20 >= MA60
2025-08-14,35269337.0,41625421848.0,1185.0,1190.0,1175.0,1175.0,-25.0,55678.0,-0.02083333333333337,-0.02105340919783238,1155.25,1080.75,0.26802740799730496,34826425.2,1.0127176934599649,False,MA20 >= MA60
2025-08-15,23577178.0,27782518177.0,1175.0,1185.0,1170.0,1180.0,5.0,31039.0,0.004255319148936065,0.004246290881451004,1156.5,1084.05,0.2576142231146992,33481896.35,0.7041769006611239,False,MA20 >= MA60
2025-08-18,21182611.0,24952978606.0,1170.0,1185.0,1170.0,1180.0,0.0,29158.0,0.0,0.0,1158.0,1087.3166666666666,0.2568402062443826,32922313.9,0.6434119747579468,False,MA20 >= MA60
2025-08-19,22439999.0,26543054769.0,1180.0,1185.0,1175.0,1185.0,5.0,19138.0,0.004237288135593209,0.004228336109521105,1160.75,1090.8,0.24713059948710905,31297650.15,0.7169867032333737,False,MA20 >= MA60
2025-08-20,73148689.0,84039496961.0,1165.0,1165.0,1135.0,1135.0,-50.0,201335.0,-0.04219409282700426,-0.04311012365372855,1160.25,1093.6333333333334,0.28978759223629635,33387075.4,2.190928319525705,True,MA20 >= MA60
2025-08-21,25030476.0,28695638720.0,1140.0,1155.0,1140.0,1150.0,15.0,39170.0,0.013215859030837107,0.013129291441792802,1160.5,1096.6833333333334,0.29372765479931867,33836684.85,0.739743745906597,False,MA20 >= MA60
2025-08-22,20220071.0,23147345045.0,1155.0,1155.0,1135.0,1135.0,-15.0,37292.0,-0.013043478260869601,-0.013129291441792736,1160.0,1099.4833333333333,0.2975754241118023,33696346.25,0.6000671660358429,False,MA20 >= MA60
2025-08-25,27470807.0,32159334115.0,1165.0,1180.0,1160.0,1170.0,35.0,38754.0,0.03083700440528636,0.03037109787629877,1161.25,1103.2166666666667,0.3174196719417586,33912227.25,0.8100561133152939,False,MA20 >= MA60
2025-08-26,39495275.0,46349348727.0,1165.0,1185.0,1160.0,1175.0,5.0,25751.0,0.004273504273504258,0.004264398786457518,1163.25,1106.9666666666667,0.3153339199990187,33813413.6,1.1680357229593643,False,MA20 >= MA60
2025-08-27,23824689.0,28276839838.0,1190.0,1190.0,1180.0,1190.0,15.0,30477.0,0.012765957446808418,0.012685159527315642,1165.0,1110.3,0.31258657725293587,33132376.3,0.7190757700044593,False,MA20 >= MA60
2025-08-28,20960787.0,24563005745.0,1185.0,1185.0,1160.0,1160.0,-30.0,36728.0,-0.025210084033613467,-0.025533302005164762,1165.0,1113.0,0.32653777032300496,32381090.3,0.6473156649700581,False,MA20 >= MA60
